OPEN_MONTH,TENURE_MONTH,ACCOUNTS,ACTIVE_ACCOUNTS,ACTIVE_RATE
2024-02-01,26,403,240,0.5955334987593052
2024-02-01,27,395,227,0.5746835443037974
2024-03-01,0,678,401,0.5914454277286135
2024-03-01,1,669,445,0.6651718983557549
2024-03-01,2,651,448,0.6881720430107527
2024-03-01,3,636,431,0.6776729559748428
2024-03-01,4,616,421,0.6834415584415584
2024-03-01,5,609,414,0.6798029556650246
2024-03-01,6,599,398,0.664440734557596
2024-03-01,7,589,397,0.6740237691001698
2024-03-01,8,582,377,0.647766323024055
2024-03-01,9,579,387,0.6683937823834197
2024-03-01,10,561,349,0.6221033868092691
2024-03-01,11,554,354,0.6389891696750902
2024-03-01,12,543,344,0.6335174953959485
2024-03-01,13,528,332,0.6287878787878788
2024-03-01,14,513,329,0.6413255360623782
2024-03-01,15,506,304,0.6007905138339921
2024-03-01,16,500,312,0.624
2024-03-01,17,493,297,0.6024340770791075
2024-03-01,18,486,299,0.6152263374485597
2024-03-01,19,477,298,0.6247379454926625
2024-03-01,20,472,277,0.586864406779661
2024-03-01,21,463,279,0.6025917926565875
2024-03-01,22,455,275,0.6043956043956044
2024-03-01,23,450,263,0.5844444444444444
2024-03-01,24,442,261,0.5904977375565611
2024-03-01,25,428,252,0.5887850467289719
2024-03-01,26,419,246,0.5871121718377088
2024-04-01,0,665,369,0.5548872180451128
2024-04-01,1,658,459,0.6975683890577508
2024-04-01,2,639,445,0.6964006259780907
2024-04-01,3,622,432,0.6945337620578779
2024-04-01,4,612,421,0.6879084967320261
2024-04-01,5,602,413,0.686046511627907
2024-04-01,6,590,403,0.6830508474576271
2024-04-01,7,575,384,0.6678260869565218
2024-04-01,8,561,374,0.6666666666666666
2024-04-01,9,552,367,0.6648550724637681
2024-04-01,10,539,363,0.673469387755102
2024-04-01,11,532,348,0.6541353383458647
2024-04-01,12,518,330,0.637065637065637
2024-04-01,13,506,315,0.6225296442687747
2024-04-01,14,501,327,0.6526946107784432
2024-04-01,15,493,314,0.6369168356997972
2024-04-01,16,492,298,0.6056910569105691
2024-04-01,17,486,290,0.5967078189300411
2024-04-01,18,476,290,0.6092436974789915
2024-04-01,19,468,283,0.6047008547008547
2024-04-01,20,463,285,0.6155507559395248
2024-04-01,21,455,267,0.5868131868131868
2024-04-01,22,442,247,0.5588235294117647
2024-04-01,23,429,246,0.5734265734265734
2024-04-01,24,418,252,0.6028708133971292
2024-04-01,25,408,247,0.6053921568627451
2024-05-01,0,580,323,0.5568965517241379
2024-05-01,1,573,415,0.7242582897033158
2024-05-01,2,553,385,0.6962025316455697
2024-05-01,3,541,383,0.7079482439926063
2024-05-01,4,529,388,0.7334593572778828
2024-05-01,5,513,356,0.6939571150097466
2024-05-01,6,502,351,0.6992031872509961
2024-05-01,7,496,346,0.6975806451612904
2024-05-01,8,488,332,0.680327868852459
2024-05-01,9,482,323,0.6701244813278008
2024-05-01,10,470,313,0.6659574468085107
2024-05-01,11,463,308,0.6652267818574514
2024-05-01,12,457,309,0.6761487964989059
2024-05-01,13,449,300,0.6681514476614699
2024-05-01,14,446,296,0.6636771300448431
2024-05-01,15,443,280,0.6320541760722348
2024-05-01,16,437,280,0.6407322654462243
2024-05-01,17,435,274,0.6298850574712643
2024-05-01,18,425,275,0.6470588235294118
2024-05-01,19,423,280,0.6619385342789598
2024-05-01,20,417,256,0.6139088729016786
2024-05-01,21,410,257,0.6268292682926829
2024-05-01,22,401,247,0.6159600997506235
2024-05-01,23,395,254,0.6430379746835443
2024-05-01,24,389,236,0.6066838046272494
2024-06-01,0,593,347,0.5851602023608768
2024-06-01,1,585,448,0.7658119658119659
2024-06-01,2,569,415,0.7293497363796133
2024-06-01,3,554,399,0.720216606498195
2024-06-01,4,539,386,0.7161410018552876
2024-06-01,5,534,376,0.704119850187266
2024-06-01,6,527,365,0.6925996204933587
2024-06-01,7,511,350,0.684931506849315
2024-06-01,8,503,346,0.6878727634194831
2024-06-01,9,495,348,0.703030303030303
2024-06-01,10,481,335,0.6964656964656964
2024-06-01,11,472,309,0.6546610169491526
2024-06-01,12,467,323,0.6916488222698073
2024-06-01,13,463,312,0.673866090712743
2024-06-01,14,459,304,0.6623093681917211
2024-06-01,15,453,297,0.6556291390728477
2024-06-01,16,443,281,0.6343115124153499
2024-06-01,17,436,286,0.6559633027522935
2024-06-01,18,426,282,0.6619718309859155
2024-06-01,19,415,252,0.6072289156626506
2024-06-01,20,408,251,0.6151960784313726
2024-06-01,21,399,256,0.6416040100250626
2024-06-01,22,395,251,0.6354430379746835
2024-06-01,23,389,250,0.6426735218508998
2024-07-01,0,644,380,0.5900621118012422
2024-07-01,1,639,458,0.7167449139280125
2024-07-01,2,627,450,0.7177033492822966
2024-07-01,3,613,445,0.7259380097879282
2024-07-01,4,601,430,0.7154742096505824
2024-07-01,5,590,411,0.6966101694915254
2024-07-01,6,576,381,0.6614583333333334
2024-07-01,7,565,388,0.6867256637168142
2024-07-01,8,555,368,0.6630630630630631
2024-07-01,9,549,375,0.6830601092896175
2024-07-01,10,543,349,0.6427255985267035
2024-07-01,11,537,367,0.6834264432029795
2024-07-01,12,527,345,0.6546489563567363
2024-07-01,13,518,349,0.6737451737451737
2024-07-01,14,512,326,0.63671875
2024-07-01,15,500,325,0.65
2024-07-01,16,490,307,0.6265306122448979
2024-07-01,17,483,314,0.650103519668737
2024-07-01,18,478,300,0.6276150627615062
2024-07-01,19,469,297,0.6332622601279317
2024-07-01,20,462,307,0.6645021645021645
2024-07-01,21,452,303,0.6703539823008849
2024-07-01,22,445,280,0.6292134831460674
2024-08-01,0,663,386,0.5822021116138764
2024-08-01,1,654,457,0.6987767584097859
2024-08-01,2,635,438,0.6897637795275591
2024-08-01,3,620,427,0.6887096774193548
2024-08-01,4,607,436,0.7182866556836903
2024-08-01,5,589,396,0.6723259762308998
2024-08-01,6,573,377,0.6579406631762653
2024-08-01,7,556,373,0.670863309352518
2024-08-01,8,551,368,0.6678765880217786
2024-08-01,9,543,363,0.6685082872928176
2024-08-01,10,541,362,0.6691312384473198
2024-08-01,11,536,348,0.6492537313432836
2024-08-01,12,526,342,0.6501901140684411
2024-08-01,13,521,333,0.6391554702495201
2024-08-01,14,511,328,0.6418786692759295
2024-08-01,15,504,325,0.6448412698412699
2024-08-01,16,500,332,0.664
2024-08-01,17,494,306,0.6194331983805668
2024-08-01,18,480,313,0.6520833333333333
2024-08-01,19,473,302,0.638477801268499
2024-08-01,20,461,304,0.6594360086767896
2024-08-01,21,445,279,0.6269662921348315
2024-09-01,0,624,381,0.6105769230769231
2024-09-01,1,617,437,0.7082658022690438
2024-09-01,2,595,414,0.6957983193277311
2024-09-01,3,581,413,0.7108433734939759
2024-09-01,4,559,392,0.7012522361359571
2024-09-01,5,547,379,0.6928702010968921
2024-09-01,6,530,372,0.7018867924528301
2024-09-01,7,518,360,0.694980694980695
2024-09-01,8,508,351,0.6909448818897638
2024-09-01,9,501,353,0.7045908183632734
2024-09-01,10,492,335,0.6808943089430894
2024-09-01,11,483,322,0.6666666666666666
2024-09-01,12,472,313,0.663135593220339
2024-09-01,13,469,313,0.6673773987206824
2024-09-01,14,466,307,0.6587982832618026
2024-09-01,15,460,307,0.6673913043478261
2024-09-01,16,453,298,0.6578366445916115
2024-09-01,17,445,290,0.651685393258427
2024-09-01,18,443,290,0.654627539503386
2024-09-01,19,433,276,0.6374133949191686
2024-09-01,20,429,283,0.6596736596736597
2024-10-01,0,712,411,0.577247191011236
2024-10-01,1,703,483,0.6870554765291608
2024-10-01,2,674,501,0.7433234421364985
2024-10-01,3,652,453,0.6947852760736196
2024-10-01,4,635,421,0.662992125984252
2024-10-01,5,621,433,0.6972624798711755
2024-10-01,6,602,424,0.7043189368770764
2024-10-01,7,589,396,0.6723259762308998
2024-10-01,8,582,398,0.6838487972508591
2024-10-01,9,577,387,0.6707105719237435
2024-10-01,10,574,389,0.6777003484320557
2024-10-01,11,568,377,0.6637323943661971
2024-10-01,12,558,384,0.6881720430107527
2024-10-01,13,546,370,0.6776556776556777
2024-10-01,14,537,363,0.6759776536312849
2024-10-01,15,525,326,0.6209523809523809
2024-10-01,16,512,336,0.65625
2024-10-01,17,504,340,0.6746031746031746
2024-10-01,18,493,333,0.6754563894523327
2024-10-01,19,485,322,0.6639175257731958
2024-11-01,0,968,542,0.5599173553719008
2024-11-01,1,959,717,0.7476538060479666
2024-11-01,2,935,666,0.7122994652406417
2024-11-01,3,918,660,0.7189542483660131
2024-11-01,4,895,640,0.7150837988826816
2024-11-01,5,877,619,0.7058152793614595
2024-11-01,6,861,582,0.6759581881533101
2024-11-01,7,851,603,0.7085781433607521
2024-11-01,8,843,572,0.6785290628706999
2024-11-01,9,831,568,0.6835138387484958
2024-11-01,10,822,562,0.683698296836983
2024-11-01,11,805,549,0.6819875776397516
2024-11-01,12,781,519,0.6645326504481434
2024-11-01,13,769,532,0.6918075422626788
2024-11-01,14,748,493,0.6590909090909091
2024-11-01,15,738,474,0.6422764227642277
2024-11-01,16,727,484,0.6657496561210454
2024-11-01,17,721,483,0.6699029126213593
2024-11-01,18,713,475,0.6661991584852734
2024-12-01,0,912,537,0.5888157894736842
2024-12-01,1,905,600,0.6629834254143646
2024-12-01,2,891,579,0.6498316498316499
2024-12-01,3,868,560,0.6451612903225806
2024-12-01,4,857,567,0.661610268378063
2024-12-01,5,844,551,0.6528436018957346
2024-12-01,6,826,545,0.6598062953995157
2024-12-01,7,816,525,0.6433823529411765
2024-12-01,8,808,522,0.6460396039603961
2024-12-01,9,798,517,0.6478696741854637
2024-12-01,10,783,504,0.6436781609195402
2024-12-01,11,777,512,0.6589446589446589
2024-12-01,12,758,488,0.6437994722955145
2024-12-01,13,738,458,0.6205962059620597
2024-12-01,14,724,454,0.6270718232044199
2024-12-01,15,713,430,0.603085553997195
2024-12-01,16,704,420,0.5965909090909091
2024-12-01,17,696,411,0.5905172413793104
2025-01-01,0,617,329,0.5332252836304701
2025-01-01,1,614,429,0.6986970684039088
2025-01-01,2,600,420,0.7
2025-01-01,3,583,422,0.7238421955403087
2025-01-01,4,577,397,0.6880415944540728
2025-01-01,5,567,407,0.7178130511463845
2025-01-01,6,561,389,0.6934046345811051
2025-01-01,7,547,386,0.7056672760511883
2025-01-01,8,539,372,0.6901669758812616
2025-01-01,9,525,359,0.6838095238095238
2025-01-01,10,514,344,0.669260700389105
2025-01-01,11,509,351,0.6895874263261297
2025-01-01,12,505,349,0.691089108910891
2025-01-01,13,500,317,0.634
2025-01-01,14,493,324,0.6572008113590264
2025-01-01,15,491,326,0.6639511201629328
2025-01-01,16,480,312,0.65
2025-02-01,0,728,406,0.5576923076923077
2025-02-01,1,721,510,0.7073509015256588
2025-02-01,2,705,512,0.7262411347517731
2025-02-01,3,682,491,0.7199413489736071
2025-02-01,4,675,488,0.7229629629629629
2025-02-01,5,660,467,0.7075757575757575
2025-02-01,6,644,454,0.7049689440993789
2025-02-01,7,631,438,0.694136291600634
2025-02-01,8,622,427,0.6864951768488746
2025-02-01,9,611,395,0.646481178396072
2025-02-01,10,607,413,0.6803953871499177
2025-02-01,11,594,400,0.6734006734006734
2025-02-01,12,579,373,0.6442141623488774
2025-02-01,13,569,380,0.6678383128295254
2025-02-01,14,564,374,0.6631205673758865
2025-02-01,15,556,368,0.6618705035971223
2025-03-01,0,702,387,0.5512820512820513
2025-03-01,1,697,471,0.6757532281205165
2025-03-01,2,677,465,0.6868537666174298
2025-03-01,3,663,458,0.6907993966817496
2025-03-01,4,650,457,0.703076923076923
2025-03-01,5,638,431,0.6755485893416928
2025-03-01,6,627,411,0.6555023923444976
2025-03-01,7,615,414,0.6731707317073171
2025-03-01,8,601,398,0.6622296173044925
2025-03-01,9,593,426,0.718381112984823
2025-03-01,10,577,365,0.6325823223570191
2025-03-01,11,571,379,0.6637478108581436
2025-03-01,12,562,382,0.6797153024911032
2025-03-01,13,549,363,0.6612021857923497
2025-03-01,14,538,365,0.6784386617100372
2025-04-01,0,747,446,0.5970548862115127
2025-04-01,1,740,522,0.7054054054054054
2025-04-01,2,716,496,0.6927374301675978
2025-04-01,3,702,503,0.7165242165242165
2025-04-01,4,688,489,0.7107558139534884
2025-04-01,5,671,470,0.7004470938897168
2025-04-01,6,658,437,0.6641337386018237
2025-04-01,7,647,435,0.6723338485316847
2025-04-01,8,639,441,0.6901408450704225
2025-04-01,9,631,413,0.6545166402535658
2025-04-01,10,621,406,0.6537842190016103
2025-04-01,11,610,409,0.6704918032786885
2025-04-01,12,595,400,0.6722689075630253
2025-04-01,13,586,383,0.6535836177474402
2025-05-01,0,647,376,0.5811437403400309
2025-05-01,1,640,434,0.678125
2025-05-01,2,628,449,0.714968152866242
2025-05-01,3,609,416,0.6830870279146142
2025-05-01,4,594,405,0.6818181818181818
2025-05-01,5,580,394,0.6793103448275862
2025-05-01,6,566,366,0.6466431095406361
2025-05-01,7,553,373,0.674502712477396
2025-05-01,8,548,337,0.614963503649635
2025-05-01,9,539,341,0.6326530612244898
2025-05-01,10,535,348,0.6504672897196262
2025-05-01,11,524,344,0.6564885496183206
2025-05-01,12,515,323,0.6271844660194175
2025-06-01,0,619,337,0.5444264943457189
2025-06-01,1,611,417,0.6824877250409165
2025-06-01,2,599,405,0.676126878130217
2025-06-01,3,584,406,0.6952054794520548
2025-06-01,4,568,406,0.7147887323943662
2025-06-01,5,559,379,0.6779964221824687
2025-06-01,6,549,375,0.6830601092896175
2025-06-01,7,531,336,0.632768361581921
2025-06-01,8,521,344,0.6602687140115163
2025-06-01,9,517,342,0.6615087040618955
2025-06-01,10,507,319,0.6291913214990138
2025-06-01,11,502,317,0.6314741035856574
2025-07-01,0,732,434,0.592896174863388
2025-07-01,1,720,500,0.6944444444444444
2025-07-01,2,703,496,0.705547652916074
2025-07-01,3,684,500,0.7309941520467836
2025-07-01,4,666,433,0.6501501501501501
2025-07-01,5,658,452,0.6869300911854104
2025-07-01,6,635,409,0.6440944881889764
2025-07-01,7,619,398,0.6429725363489499
2025-07-01,8,609,393,0.645320197044335
2025-07-01,9,603,398,0.6600331674958541
2025-07-01,10,595,379,0.6369747899159663
2025-08-01,0,627,331,0.5279106858054227
2025-08-01,1,619,411,0.6639741518578353
2025-08-01,2,606,415,0.6848184818481848
2025-08-01,3,589,406,0.6893039049235993
2025-08-01,4,580,409,0.7051724137931035
2025-08-01,5,575,384,0.6678260869565218
2025-08-01,6,562,370,0.6583629893238434
2025-08-01,7,554,390,0.703971119133574
2025-08-01,8,544,362,0.6654411764705882
2025-08-01,9,537,357,0.664804469273743
2025-09-01,0,757,450,0.5944517833553501
2025-09-01,1,744,520,0.6989247311827957
2025-09-01,2,720,498,0.6916666666666667
2025-09-01,3,713,511,0.7166900420757363
2025-09-01,4,689,468,0.6792452830188679
2025-09-01,5,678,456,0.672566371681416
2025-09-01,6,667,437,0.6551724137931034
2025-09-01,7,654,446,0.6819571865443425
2025-09-01,8,646,421,0.651702786377709
2025-10-01,0,751,434,0.5778961384820239
2025-10-01,1,741,507,0.6842105263157895
2025-10-01,2,723,530,0.7330567081604425
2025-10-01,3,694,483,0.6959654178674352
2025-10-01,4,681,463,0.6798825256975036
2025-10-01,5,669,459,0.6860986547085202
2025-10-01,6,658,457,0.6945288753799392
2025-10-01,7,642,428,0.6666666666666666
2025-11-01,0,859,454,0.5285215366705471
2025-11-01,1,854,628,0.7353629976580797
2025-11-01,2,835,556,0.665868263473054
2025-11-01,3,819,569,0.6947496947496947
2025-11-01,4,805,563,0.6993788819875777
2025-11-01,5,793,540,0.6809583858764187
2025-11-01,6,784,541,0.6900510204081632
2025-12-01,0,933,576,0.617363344051447
2025-12-01,1,928,588,0.6336206896551724
2025-12-01,2,918,624,0.6797385620915033
2025-12-01,3,896,601,0.6707589285714286
2025-12-01,4,883,601,0.6806342015855039
2025-12-01,5,864,577,0.6678240740740741
2026-01-01,0,573,304,0.5305410122164049
2026-01-01,1,569,392,0.6889279437609842
2026-01-01,2,555,404,0.7279279279279279
2026-01-01,3,539,387,0.7179962894248608
2026-01-01,4,529,380,0.718336483931947
2026-02-01,0,685,375,0.5474452554744526
2026-02-01,1,679,455,0.6701030927835051
2026-02-01,2,666,473,0.7102102102102102
2026-02-01,3,645,432,0.6697674418604651
2026-03-01,0,668,360,0.5389221556886228
2026-03-01,1,665,453,0.681203007518797
2026-03-01,2,651,455,0.6989247311827957
2026-04-01,0,699,364,0.5207439198855508
2026-04-01,1,692,474,0.684971098265896
2026-05-01,0,569,302,0.5307557117750439
